epoch,loss,val_loss
0,0.04325312376022339,0.02596457675099373
1,0.025966495275497437,0.022239934653043747
2,0.022728409618139267,0.019942590966820717
3,0.020895972847938538,0.018754517659544945
4,0.019748937338590622,0.01825394295156002
5,0.019048837944865227,0.017737330868840218
6,0.018685143440961838,0.01754697412252426
7,0.018237529322504997,0.017300976440310478
8,0.017841925844550133,0.0173310786485672
9,0.017682936042547226,0.0169684998691082
10,0.017417259514331818,0.01696612685918808
