epoch,decoded_output_loss,encoded_output_loss,loss,val_decoded_output_loss,val_encoded_output_loss,val_loss
0,0.07342954725027084,0.25426432490348816,0.3276931345462799,0.06887464970350266,0.000518690561875701,0.06939330697059631
1,0.06816365569829941,0.00035179805126972497,0.06851545721292496,0.06821142882108688,0.00024270200810860842,0.06845411658287048
2,0.06787427514791489,0.0002074201765935868,0.06808173656463623,0.06802614033222198,0.00016411866818089038,0.06819026917219162
3,0.06774313002824783,0.00014644292241428047,0.06788963824510574,0.06795462220907211,0.00012267744750715792,0.06807728111743927
4,0.06764103472232819,0.00011292441195109859,0.06775399297475815,0.06783311814069748,9.845685417531058e-05,0.06793157011270523
5,0.06759115308523178,9.164540097117424e-05,0.06768278032541275,0.0677621066570282,8.257446461357176e-05,0.0678446963429451
6,0.06755081564188004,7.74441723478958e-05,0.06762825697660446,0.06777601689100266,7.010494300629944e-05,0.06784612685441971
7,0.0675203800201416,6.69767614454031e-05,0.06758737564086914,0.06771505624055862,6.163250509416685e-05,0.06777668744325638
8,0.06749552488327026,5.914747089263983e-05,0.06755466014146805,0.06771710515022278,5.490383045980707e-05,0.0677720159292221
9,0.06747589260339737,5.273151327855885e-05,0.06752859055995941,0.06767206639051437,4.971101589035243e-05,0.06772178411483765
10,0.06745486706495285,4.751901360577904e-05,0.06750240921974182,0.06764067709445953,4.477876063901931e-05,0.06768543273210526
11,0.06744324415922165,4.338073995313607e-05,0.06748665869235992,0.06765957921743393,4.124203042010777e-05,0.0677008256316185
12,0.06743237376213074,4.004730362794362e-05,0.06747245043516159,0.06761960685253143,3.7977781175868586e-05,0.06765758991241455
13,0.06742256134748459,3.698101136251353e-05,0.06745954602956772,0.06765424460172653,3.525809006532654e-05,0.06768948584794998
14,0.06740988045930862,3.452317469054833e-05,0.06744442880153656,0.06761203706264496,3.331023981445469e-05,0.06764533370733261
15,0.06740320473909378,3.229229332646355e-05,0.06743551790714264,0.06760790944099426,3.118536915280856e-05,0.06763911247253418
