epoch,loss,val_loss
0,0.010966101661324501,0.011171841993927956
1,0.010612307116389275,0.011107315309345722
2,0.010368525050580502,0.01100248284637928
3,0.01017314288765192,0.010569917969405651
4,0.009975661523640156,0.010519405826926231
5,0.009880775585770607,0.01040718238800764
6,0.009729204699397087,0.010733935981988907
7,0.009580262005329132,0.009984279051423073
8,0.00947185792028904,0.00993612315505743
9,0.009386882185935974,0.009788520634174347
10,0.009318915195763111,0.00968270655721426
11,0.009245140478014946,0.009639483876526356
12,0.009104945696890354,0.00958433747291565
13,0.009034590795636177,0.009715588763356209
14,0.008971759118139744,0.009745004586875439
15,0.00900216307491064,0.009415797889232635
16,0.008901183493435383,0.009316007606685162
17,0.008810821920633316,0.009257030673325062
18,0.008751852437853813,0.009296738542616367
19,0.008731726557016373,0.009600113146007061
20,0.008679099380970001,0.009481076151132584
21,0.008653485216200352,0.009156259708106518
22,0.008571681566536427,0.009196636267006397
23,0.008535620756447315,0.009052460081875324
24,0.008499748073518276,0.00914318673312664
25,0.00847600307315588,0.008980800397694111
26,0.008443368598818779,0.009142427705228329
27,0.008455323055386543,0.008985639549791813
28,0.008351655676960945,0.009186225943267345
29,0.008348248898983002,0.009409811347723007
30,0.008333785459399223,0.009024727158248425
31,0.008266684599220753,0.008999151177704334
32,0.008217007853090763,0.009003634564578533
33,0.008238277398049831,0.009019787423312664
34,0.0082130441442132,0.00887976586818695
35,0.008175455965101719,0.00889428798109293
36,0.008169794455170631,0.008874683640897274
37,0.008130591362714767,0.008684305474162102
38,0.00812064204365015,0.008844716474413872
39,0.008076195605099201,0.008790123276412487
40,0.008100482635200024,0.008732079528272152
41,0.008024652488529682,0.008876006118953228
42,0.008041257038712502,0.008715865202248096
43,0.008008083328604698,0.008655826561152935
44,0.008012693375349045,0.008620779030025005
45,0.007988386787474155,0.009023895487189293
46,0.00796259194612503,0.008563445881009102
47,0.007948962040245533,0.008604280650615692
48,0.007941479794681072,0.008624304085969925
49,0.007894824258983135,0.00907368678599596
50,0.007914436981081963,0.00854419358074665
51,0.007864010520279408,0.008589066565036774
52,0.007842469960451126,0.008603598922491074
53,0.007828786037862301,0.008659242652356625
54,0.007825597189366817,0.008533387444913387
55,0.007804702967405319,0.008549418300390244
56,0.007855857722461224,0.008775966241955757
57,0.0077848294749855995,0.009037270210683346
58,0.007807474583387375,0.008466689847409725
59,0.007773010525852442,0.008533340878784657
60,0.007738139014691114,0.008553972467780113
61,0.007757207844406366,0.00856389757245779
62,0.0077060675248503685,0.008516198955476284
63,0.007706974167376757,0.00843825563788414
64,0.007751725614070892,0.008539400063455105
65,0.007721610367298126,0.008351589553058147
66,0.007700000889599323,0.008528975769877434
67,0.007666240446269512,0.008544119074940681
68,0.00763727817684412,0.008287795819342136
69,0.007635057438164949,0.008403316140174866
70,0.007642073091119528,0.008301018737256527
71,0.0076409294269979,0.008305609226226807
72,0.007605016231536865,0.008364262990653515
73,0.007594767026603222,0.00829029269516468
74,0.007587027736008167,0.008261787705123425
75,0.007596291601657867,0.008295516483485699
76,0.007609632331877947,0.008370854891836643
77,0.007581580430269241,0.008391796611249447
78,0.007571543101221323,0.008258122950792313
79,0.0075364685617387295,0.008310697972774506
80,0.007554349489510059,0.008399290032684803
81,0.007535504177212715,0.00836068857461214
82,0.007557630073279142,0.008305449970066547
83,0.007514419965445995,0.00820188783109188
84,0.0074974591843783855,0.008202334865927696
85,0.007524420972913504,0.008213185705244541
86,0.007476326543837786,0.008617726154625416
87,0.007451147772371769,0.008204669691622257
88,0.0074729640036821365,0.008210813626646996
89,0.007478503510355949,0.008396417833864689
90,0.007468047086149454,0.008217555470764637
91,0.007481928914785385,0.008215232752263546
92,0.007423075381666422,0.00831141322851181
93,0.0074479468166828156,0.008191533386707306
94,0.007432269863784313,0.008401877246797085
95,0.007477029226720333,0.008222902193665504
96,0.007391242776066065,0.008392498828470707
97,0.007416979875415564,0.0082195233553648
98,0.007435670122504234,0.008173967711627483
99,0.007393924053758383,0.008168363943696022
